"Incident ID",Year,Month,Day,Country,Region,District,City,UN,INGO,LNGO/NRCS,ICRC,IFRC,Other,"Nationals killed","Nationals wounded","Nationals kidnapped","Total nationals","Internationals killed","Internationals wounded","Internationals kidnapped","Total internationals","Total killed","Total wounded","Total kidnapped","Total affected","Gender Male","Gender Female","Gender Unknown","Means of attack","Attack context",Location,Latitude,Longitude,"Actor type","Actor name",Details,Verified,Source
29,1997,10,23,Chechnya,Grozny,Grozny,Grozny,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,2,0,0,Kidnapping,Unknown,Unknown,43.3278775,45.6762535,Unknown,Unknown,"2 INGO international (Hungarian) staff kidnapped in Grozny on Oct 23 and held for 9 months. Severe abuse (mutilations). Ransom paid by Hungarian govt.",Archived,Archived
31,1997,11,,Congo,,,,0,0,0,3,0,0,1,2,0,3,0,0,0,0,1,2,0,3,0,0,3,Unknown,Ambush,Unknown,-2.9814344,23.8222636,Unknown,Unknown,"1 ICRC national staff killed and 2 wounded in ambush.",Archived,Archived
30,1997,11,22,Somalia,,,,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,4,0,0,4,Kidnapping,Unknown,Unknown,8.3676771,49.083416,Unknown,Unknown,"3 UN national staff (from two agencies) and 1 from another UN body abducted by gunmen on Nov 22 and released the next day. Involved a charcoal trade dispute.",Yes,"Focal Point"
32,1997,11,26,Somalia,"Middle Shabelle",Balcad,Deganlei,0,3,0,0,0,0,0,0,1,1,0,0,2,2,0,0,3,3,2,1,0,Kidnapping,Raid,Office/compound,2.270978,45.334654,Unaffiliated,"Not applicable","2 INGO international staff (1 male 1 female, Italian) and 1 male national staff were kidnapped after 1-hour armed attack on base in Deganlei on Nov 26. Organized by Mogadishu businessman who had a trade dispute with the then Vice Governor of Balad, Mohamed Abshir.",Archived,Archived
34,1997,12,,Tajikistan,,,,0,2,0,0,0,0,0,0,0,0,1,0,1,2,1,0,1,2,1,1,0,Kidnap-killing,"Individual attack",Unknown,38.6281733,70.8156541,Unknown,Unknown,"2 INGO international staff (of two different organizations) kidnapped. One victim was fatally wounded when her abductors set off a grenade to kill themselves and their hostage. The other victim was rescued, unharmed.",Archived,Media
33,1997,12,17,Chechnya,,,,0,5,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,5,5,0,0,Kidnapping,Unknown,Unknown,43.3976147,45.6985005,Unknown,Unknown,"5 INGO international (Polish) staff kidnapped by 15 armed men on Dec 17.",Archived,Media
61,1998,,,,,,,0,0,0,6,0,0,3,2,0,5,1,0,0,1,4,2,0,6,0,0,6,Unknown,Raid,Unknown,,,Unknown,Unknown,"1 ICRC international and 3 national staff killed, and 2 nationals wounded, sometime during year.",Archived,Archived
62,1998,,,Burundi,,,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown,Unknown,Home,-3.3634357,29.8870575,Unknown,Unknown,"1 INGO national staff killed in armed robbery on a team house. Month unknown.",Archived,Archived
37,1998,1,,"Sri Lanka",Northern,Vavuniya,Vavuniya,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown,Raid,"Project site",8.7593439,80.4999646,Unknown,Unknown,"1 ICRC national staff murdered when working as a night watchman at the ICRC sub-delegation in Vavuniya, when the sub-delegation",Archived,Archived
38,1998,1,,"DR Congo",,,,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown,Ambush,Road,-2.9814344,23.8222636,Unknown,Unknown,"1 ICRC national staff driver killed in ambush.",Archived,Archived
36,1998,1,29,Chechnya,"North Ossetia",,,2,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,2,2,0,0,Kidnapping,Unknown,Unknown,43,44.25,Unknown,Unknown,"1 UN international (French) staff kidnapped and 1 UN national staff driver beaten at gunpoint in N. Ossetia on Jan 29.",Archived,Archived
42,1998,3,,Rwanda,,,,0,3,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,3,Unknown,Raid,"Project site",-1.9646631,30.0644358,Unknown,Unknown,"3 INGO staff killed in armed assault on camp (presumed here to be national staff).",Archived,Archived
40,1998,3,6,Uganda,,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown,Unknown,Unknown,1.5333554,32.2166578,Unknown,Unknown,"1 UN national staff killed March 6.",Archived,Archived
39,1998,3,22,"Sierra Leone",Eastern,Kailahun,Segbwema,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Combat/Crossfire,Unknown,7.9967363,-10.9495705,"Non-state armed group: National","Armed Forces Revolutionary Council (AFRC)","1 ICRC national staff member (and his son) killed during killed in an exchange of fire between ECOMOG and the AFRC/RUF near Segbwema.",Archived,Archived
44,1998,4,,Sudan,,,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,"Aerial bombardment",Unknown,"Project site",14.5844444,29.4917691,Unknown,Unknown,"1 INGO national staff killed in hospital bombing.",Archived,Archived
45,1998,4,,Burundi,"Bujumbura Mairie",Bujumbura,Bujumbura,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,Unknown,Ambush,Unknown,-3.3239046,29.3206183,Unknown,Unknown,"1 INGO international staff ambushed and killed by bandits in Bujumbura, April 22.",Archived,Archived
43,1998,4,15,Somalia,Banadir,Banadir,Mogadishu,0,0,1,7,2,0,0,0,1,1,0,0,9,9,0,0,10,10,2,0,8,Kidnapping,Ambush,Road,2.033333,45.35,"Non-state armed group: National",Unknown,"9 internationals and 1 national working for ICRC/IFRC kidnapped as their aircraft landed in Mogadishu (5 ICRC internationals, 2 IFRC delegates, 1 national RC worker kidnapped along with 2 pilots (labelled here as ICRC)). The victims were a Somali, an American, a South African.",Archived,Archived
48,1998,6,,Burundi,"Bujumbura Mairie",Bujumbura,Bujumbura,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,Unknown,Ambush,Unknown,-3.3239046,29.3206183,Unknown,Unknown,"1 INGO international (Danish) staff killed by car thieves in Bujumbura.",Archived,Archived
46,1998,6,9,Sudan,"South Kordofan",,,2,0,0,4,0,0,3,3,0,6,0,0,0,0,3,3,0,6,3,0,3,Shooting,Ambush,Road,11,31,Unknown,Unknown,"2 UN national staff killed along with 1 national RC worker were killed when gunmen fired on a UN vehicle in South Kordofan June 9 (3 other RC workers wounded).",Archived,Archived
47,1998,6,25,Ethiopia,Korahe,Bodaley,"Between Gode and Degeh Bur",0,0,0,6,0,0,0,0,0,0,0,0,6,6,0,0,6,6,1,0,5,Kidnapping,Ambush,Road,7,44,"Non-state armed group: Regional","Al-Itihaad al-Islamiya","6 ICRC international staff (1 Swiss, 5 Somali) abducted when travelling from Gode to Degeh Bur in three marked vehicles on June 25. On July 3 the Islamic group al-Ittihad al-Islami claimed responsibility, stating that the hostages were under investigation.",Archived,Archived
50,1998,7,,Somalia,,,,7,0,0,0,0,0,2,5,0,7,0,0,0,0,2,5,0,7,0,0,7,Unknown,Ambush,Road,8.3676771,49.083416,Unknown,Unknown,"2 UN national staff killed and 5 wounded when convoy attacked.",Archived,Archived
49,1998,7,8,Uganda,,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown,Ambush,Road,1.5333554,32.2166578,"Non-state armed group: Subnational","Uganda National Rescue Front","1 UN national staff killed in ambush by guerrillas from the Uganda National Rescue Front II on July 8. Vehicle also robbed and blown up.",Archived,Archived
53,1998,7,11,Burundi,Bubanza,Gihanga,"Gihanga Commune, RN 9",0,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,1,1,0,Unknown,Raid,"Project site",-3.11667,29.4,Unknown,Unknown,"2 INGO national staff killed in ambush on RN 9 in Bubanza's Gihanga commune July 11.",Archived,Archived
51,1998,7,13,Afghanistan,Nangarhar,Bihsud,Jalalabad,2,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,2,0,0,Kidnap-killing,Unknown,Unknown,34.430247,70.448678,Unknown,Unknown,"2 UN national staff from different agencies kidnapped in or near Jalalabad on July 13 and later found dead.",Archived,Archived
52,1998,7,24,Burundi,"Bujumbura Mairie",Bujumbura,Bujumbura,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,Unknown,"Individual attack",Unknown,-3.3239046,29.3206183,Unknown,Unknown,"1 UN international staffer killed in Bujumbura on July 24.",Archived,Archived
54,1998,8,,Afghanistan,,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Combat/Crossfire,Unknown,33.93911,67.709953,"Non-state armed group: National",Taliban,"1 UN national staff killed while fleeing advancing Taliban forces. Discovered Nov 27.",Archived,Archived
55,1998,8,,Kosovo,,,,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,3,Unknown,"Individual attack",Road,42.56231965,20.9060579,Unknown,Unknown,"3 NGO national staff killed while delivering INGO parcels.",Archived,Archived
56,1998,9,,Kosovo,,,,0,0,0,4,0,0,1,2,0,3,0,1,0,1,1,3,0,4,1,0,3,"Landmine ",Ambush,Road,42.56231965,20.9060579,Unknown,Unknown,"1 ICRC male national staff killed and 3 ICRC (1 international New Zealand, 2 nationals) staff wounded when ICRC car hit landmine.",Archived,Archived
57,1998,9,,Somalia,Banadir,Banadir,Mogadishu,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,Kidnapping,Unknown,Unknown,2.033333,45.35,Unknown,Unknown,"1 INGO international (Italian) staff working at an INGO run hospital kidnapped and held for several days.",Archived,Archived
59,1998,11,,Angola,,,,3,0,0,0,0,0,2,1,0,3,0,0,0,0,2,1,0,3,0,0,3,Unknown,Ambush,Road,-11.8775768,17.5691241,Unknown,Unknown,"2 UN national staff killed and 1 wounded in convoy ambush.",Archived,Archived
58,1998,11,14,Angola,Bie,Kuito,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Raid,Office/compound,-12.3830189,16.9423833,Unknown,Unknown,"1 UN national staff shot and killed while guarding warehouse in Kuito on Nov 14.",Archived,Archived
60,1998,12,,Angola,,,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,Unknown,"Individual attack",Unknown,-11.8775768,17.5691241,Unknown,Unknown,"1 INGO national female staff killed.",Archived,Archived
94,1999,,,,,,,0,0,0,2,0,0,0,1,0,1,0,1,0,1,0,2,0,2,0,0,2,Unknown,Unknown,Unknown,,,Unknown,Unknown,"1 ICRC international staff wounded and 1 national wounded sometime during year.",Archived,Archived
64,1999,1,,Somalia,Banadir,Banadir,"Mogadishu, Lenin Road",0,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,2,0,0,Unknown,Ambush,Road,2.11667,45.4,Unknown,Unknown,"2 INGO national staff killed in ambush in south Mogadishu, Lenin Road. Not clear if the attack aimed at the organization",Archived,Archived
65,1999,1,,"Sierra Leone",,,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Unknown,"Individual attack",Home,8.6400349,-11.8400269,Unknown,Unknown,"1 INGO national staff killed in house attack.",Archived,Archived
66,1999,1,,Somalia,Gedo,,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,Shooting,Unknown,Unknown,3,42,Unknown,Unknown,"1 NGO international (Kenyan) staff shot dead in Gede region. Incident possibly stemmed from a labour dispute.",Archived,Archived
67,1999,1,,Yemen,,,,0,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,4,2,2,0,Kidnapping,Raid,Unknown,16.3471243,47.8915271,"Non-state armed group: Subnational","Armed tribesmen","4 INGO international (2 British, 2 Dutch) staff kidnapped by armed tribesmen and later released.",Archived,Archived
63,1999,1,2,Angola,,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Shelling,Unknown,Road,-11.8775768,17.5691241,Unknown,Unknown,"1 UN national staff killed when MONUA chartered plane shot down Jan 2.",Archived,Archived
68,1999,2,18,Sudan,Unity,Rubkona,Bentiu,0,0,0,6,0,0,4,0,0,4,0,0,2,2,4,0,2,6,0,0,6,Kidnap-killing,Unknown,Unknown,9.26,29.8,Unknown,Unknown,"2 ICRC international (Swiss) staff and 4 national RC workers kidnapped. Swiss released in March, Sudanese killed April.",Archived,Archived
69,1999,3,,Somalia,"Lower Juba",Badhaadhe,"Ras Kambooni",1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,"Body-borne IED","Individual attack","Project site",-1.03471,41.49756,"Non-state armed group: Regional","Al-Itihaad al-Islamiya","1 INGO international staff killed in Ras Kambooni, lower Juba, while meeting with elders. Suspected to be carried out by Al-Ittihad militia.",Archived,Archived
70,1999,4,,Afghanistan,,,,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,"Aerial bombardment",Unknown,Unknown,33.93911,67.709953,"State: unknown","Not applicable","1 ICRC national staff killed in air raid.",Archived,Archived
71,1999,4,,Somalia,,,,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,Kidnapping,Unknown,Unknown,8.3676771,49.083416,Unknown,Unknown,"1 INGO international (Italian) staff kidnapped for ransom and released with ransom unpaid.",Archived,Archived
73,1999,4,,Ethiopia,,,,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,Kidnapping,Unknown,Unknown,9.145,40.489673,Unknown,Unknown,"1 INGO international (French) staff kidnapped and later released",Archived,Archived
72,1999,4,14,Angola,,,,0,5,0,0,0,0,5,0,0,5,0,0,0,0,5,0,0,5,0,0,5,Unknown,Ambush,Road,-11.8775768,17.5691241,Unknown,Unknown,"5 INGO and NGOs national staff killed in ambush April 14.",Archived,Archived
74,1999,5,,Sudan,,,,3,0,0,0,0,0,1,2,0,3,0,0,0,0,1,2,0,3,3,0,0,Unknown,Raid,Road,14.5844444,29.4917691,Unknown,Unknown,"1 UN national staff killed and 2 wounded when relief barge on Nile in Sudan was attacked.",Archived,Archived
75,1999,5,15,Chechnya,Kabardino-Balkaria,,,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,Kidnapping,Unknown,Unknown,43.4428286,43.4204809,Unknown,Unknown,"1 ICRC international staff kidnapped in Kabardino-Balkaria May 15. Released July 19.",Archived,Archived
76,1999,6,,Burundi,Baki,,,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,Shooting,Unknown,Unknown,-3.3634357,29.8870575,"Non-state armed group: National",Interahamwe,"1 UN national staff injured when vehicle shot at by the suspected militant Hutu group Interahamwe.",Archived,Archived
77,1999,6,,Somalia,Awdal,Baki,,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,2,Kidnapping,Unknown,Unknown,10.2950001,43.56610996,"Non-state armed group: Subnational",Militia,"2 UN national staff kidnapped by militia in Baki, released after intervention by UN and authorities.",Archived,Archived
78,1999,6,,Angola,Bengo,"Icolo e Bengo",Barraca,0,4,0,0,0,0,2,2,0,4,0,0,0,0,2,2,0,4,1,0,3,Unknown,Raid,"Project site",-9.1842148,13.9624111,"Non-state armed group: National","National Union for the Total Independence of Angola","2 INGO national staff killed and 2 wounded when ambushed by armed men wearing UNITA uniforms during polio eradication campaign in Barraca, Bengo Province.",Archived,Archived
79,1999,6,,Angola,Uige,,,0,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,0,0,2,Unknown,Ambush,Road,-7.6117323,15.0563515,Unknown,Unknown,"2 INGO national staff killed when 80-truck convoy was ambushed in the north Angolan province of Uije including some aid vehicles June 16. Approximately 60 dead or missing including 54 civilians.",Archived,Archived
80,1999,7,24,Burundi,"Bujumbura Mairie",Bujumbura,Bujumbura,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,Unknown,Unknown,Unknown,-3.3239046,29.3206183,Unknown,Unknown,"1 UN international (Italian) staff killed in Bujumbura July 24.",Archived,Archived
82,1999,8,,Indonesia,"East Timor",,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown,Unknown,Unknown,0.85,123.78333,Unknown,Unknown,"1 INGO national staff found murdered in E. Timor.",Archived,Archived
81,1999,8,4,"Sierra Leone",,,,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,2,Kidnapping,Unknown,Unknown,8.6400349,-11.8400269,"Non-state armed group: National","Armed Forces Revolutionary Council (AFRC)","2 UN international staff among 33 from UN group kidnapped by AFRC faction Aug 4 and released Aug 11.",Archived,Archived
83,1999,8,11,Liberia,Lofa,Kolahun,Kolahun,0,6,0,0,0,0,0,0,0,0,0,0,6,6,0,0,6,6,4,2,0,Kidnapping,Unknown,Unknown,8.28694,-10.08444,Unknown,Unknown,"6 INGO international (4 British, 1 Norwegian, 1 Italian) staff kidnapped in Kolahun Aug 11. Released unharmed 2 days later.",Archived,Archived
86,1999,9,14,Somalia,Gedo,Garbahaarey,Garbahaarey,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown,Combat/Crossfire,Unknown,3.325005,42.2205319,"Non-state armed group: Subnational",Unknown,"1 INGO national staff was killed in attack in Somalia on Sept 14. The victim was among 10 people killed when rival factions fought for the control of the southern town Garbaharey.",Archived,Archived
84,1999,9,15,Somalia,,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Ambush,Road,8.3676771,49.083416,Unknown,Unknown,"1 UN national staff killed in road shooting Sept 15-16.",Archived,Archived
85,1999,9,16,Angola,,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Unknown,Ambush,Road,-11.8775768,17.5691241,Unknown,Unknown,"1 UN national staff killed when convoy attacked Sept 16.",Archived,Archived
